RMSE,NSE,PBIAS,KGE,split,run_id,dynamic_group,static_group,loss_name,history_length,frequency
1.051000565711884,0.3897504011894637,-6.700161381951566,0.6759892427410186,test,bench_p04_r00,era5_full_selected,static_base,hydro_skill,365,daily
1.3505076625311725,0.4848585303412549,-14.276227928884053,0.6448391281080108,train,bench_p04_r00,era5_full_selected,static_base,hydro_skill,365,daily
1.0699787475041675,0.5256355115113989,-1.0071836171230066,0.7472626270936565,val,bench_p04_r00,era5_full_selected,static_base,hydro_skill,365,daily
1.051000565711884,0.3897504011894637,-6.700161381951566,0.6759892427410186,test,bench_p04_r01,era5_full_selected,static_base,hydro_skill,365,daily
1.3505076625311725,0.4848585303412549,-14.276227928884053,0.6448391281080108,train,bench_p04_r01,era5_full_selected,static_base,hydro_skill,365,daily
1.0699787475041675,0.5256355115113989,-1.0071836171230066,0.7472626270936565,val,bench_p04_r01,era5_full_selected,static_base,hydro_skill,365,daily
1.051000565711884,0.3897504011894637,-6.700161381951566,0.6759892427410186,test,bench_p04_r02,era5_full_selected,static_base,hydro_skill,365,daily
1.3505076625311725,0.4848585303412549,-14.276227928884053,0.6448391281080108,train,bench_p04_r02,era5_full_selected,static_base,hydro_skill,365,daily
1.0699787475041675,0.5256355115113989,-1.0071836171230066,0.7472626270936565,val,bench_p04_r02,era5_full_selected,static_base,hydro_skill,365,daily
1.051000565711884,0.3897504011894637,-6.700161381951566,0.6759892427410186,test,bench_p04_r03,era5_full_selected,static_base,hydro_skill,365,daily
1.3505076625311725,0.4848585303412549,-14.276227928884053,0.6448391281080108,train,bench_p04_r03,era5_full_selected,static_base,hydro_skill,365,daily
1.0699787475041675,0.5256355115113989,-1.0071836171230066,0.7472626270936565,val,bench_p04_r03,era5_full_selected,static_base,hydro_skill,365,daily
1.051000565711884,0.3897504011894637,-6.700161381951566,0.6759892427410186,test,bench_p08_r00,era5_full_selected,static_base,hydro_skill,365,daily
1.3505076625311725,0.4848585303412549,-14.276227928884053,0.6448391281080108,train,bench_p08_r00,era5_full_selected,static_base,hydro_skill,365,daily
1.0699787475041675,0.5256355115113989,-1.0071836171230066,0.7472626270936565,val,bench_p08_r00,era5_full_selected,static_base,hydro_skill,365,daily
1.051000565711884,0.3897504011894637,-6.700161381951566,0.6759892427410186,test,bench_p08_r01,era5_full_selected,static_base,hydro_skill,365,daily
1.3505076625311725,0.4848585303412549,-14.276227928884053,0.6448391281080108,train,bench_p08_r01,era5_full_selected,static_base,hydro_skill,365,daily
1.0699787475041675,0.5256355115113989,-1.0071836171230066,0.7472626270936565,val,bench_p08_r01,era5_full_selected,static_base,hydro_skill,365,daily
1.051000565711884,0.3897504011894637,-6.700161381951566,0.6759892427410186,test,bench_p08_r02,era5_full_selected,static_base,hydro_skill,365,daily
1.3505076625311725,0.4848585303412549,-14.276227928884053,0.6448391281080108,train,bench_p08_r02,era5_full_selected,static_base,hydro_skill,365,daily
1.0699787475041675,0.5256355115113989,-1.0071836171230066,0.7472626270936565,val,bench_p08_r02,era5_full_selected,static_base,hydro_skill,365,daily
1.051000565711884,0.3897504011894637,-6.700161381951566,0.6759892427410186,test,bench_p08_r03,era5_full_selected,static_base,hydro_skill,365,daily
1.3505076625311725,0.4848585303412549,-14.276227928884053,0.6448391281080108,train,bench_p08_r03,era5_full_selected,static_base,hydro_skill,365,daily
1.0699787475041675,0.5256355115113989,-1.0071836171230066,0.7472626270936565,val,bench_p08_r03,era5_full_selected,static_base,hydro_skill,365,daily
1.051000565711884,0.3897504011894637,-6.700161381951566,0.6759892427410186,test,bench_p08_r04,era5_full_selected,static_base,hydro_skill,365,daily
1.3505076625311725,0.4848585303412549,-14.276227928884053,0.6448391281080108,train,bench_p08_r04,era5_full_selected,static_base,hydro_skill,365,daily
1.0699787475041675,0.5256355115113989,-1.0071836171230066,0.7472626270936565,val,bench_p08_r04,era5_full_selected,static_base,hydro_skill,365,daily
1.051000565711884,0.3897504011894637,-6.700161381951566,0.6759892427410186,test,bench_p08_r05,era5_full_selected,static_base,hydro_skill,365,daily
1.3505076625311725,0.4848585303412549,-14.276227928884053,0.6448391281080108,train,bench_p08_r05,era5_full_selected,static_base,hydro_skill,365,daily
1.0699787475041675,0.5256355115113989,-1.0071836171230066,0.7472626270936565,val,bench_p08_r05,era5_full_selected,static_base,hydro_skill,365,daily
1.051000565711884,0.3897504011894637,-6.700161381951566,0.6759892427410186,test,bench_p08_r06,era5_full_selected,static_base,hydro_skill,365,daily
1.3505076625311725,0.4848585303412549,-14.276227928884053,0.6448391281080108,train,bench_p08_r06,era5_full_selected,static_base,hydro_skill,365,daily
1.0699787475041675,0.5256355115113989,-1.0071836171230066,0.7472626270936565,val,bench_p08_r06,era5_full_selected,static_base,hydro_skill,365,daily
1.051000565711884,0.3897504011894637,-6.700161381951566,0.6759892427410186,test,bench_p08_r07,era5_full_selected,static_base,hydro_skill,365,daily
1.3505076625311725,0.4848585303412549,-14.276227928884053,0.6448391281080108,train,bench_p08_r07,era5_full_selected,static_base,hydro_skill,365,daily
1.0699787475041675,0.5256355115113989,-1.0071836171230066,0.7472626270936565,val,bench_p08_r07,era5_full_selected,static_base,hydro_skill,365,daily
2.005399168726685,-0.1595495537975417,68.86849649142113,-0.5144103206268269,test,distributed_batched_smoke,era5_full_selected,static_base,hydro_skill,365,daily
1.3090695177275595,-0.3451014973222299,66.33871924520663,-0.4473268721433796,train,distributed_batched_smoke,era5_full_selected,static_base,hydro_skill,365,daily
1.91271826634174,-0.1831594729257797,68.91870866256484,-0.5049102283648994,val,distributed_batched_smoke,era5_full_selected,static_base,hydro_skill,365,daily
1.142669233699773,0.7045833874331568,5.185765137033149,0.7154015534297344,test,lumped_hydro_skill,era5_full_selected,static_base,hydro_skill,365,daily
0.7721527162913259,0.8115113379931421,-3.495913822872867,0.8530990672964386,train,lumped_hydro_skill,era5_full_selected,static_base,hydro_skill,365,daily
1.0503456946454093,0.6861803333457847,3.388638867977245,0.7131051714673278,val,lumped_hydro_skill,era5_full_selected,static_base,hydro_skill,365,daily
1.164883033064203,0.692985784459033,5.908419684423463,0.7003071679666925,test,lumped_rmse,era5_full_selected,static_base,rmse,365,daily
0.7764537860759424,0.8094056385030195,-3.2251886180301845,0.8460082336904776,train,lumped_rmse,era5_full_selected,static_base,rmse,365,daily
1.0644128689412011,0.6777181330950766,3.831648668882663,0.7003146082856426,val,lumped_rmse,era5_full_selected,static_base,rmse,365,daily
52.87079694927923,-1.6818336961980576,99.64409143279455,-0.5581384616180385,test,monthly_fix_lumped_smoke,era5_core_plus_snow,static_base,hydro_skill,12,monthly
65.57313191879626,-1.4691394021258644,99.72136269623294,-0.5864749738068067,train,monthly_fix_lumped_smoke,era5_core_plus_snow,static_base,hydro_skill,12,monthly
44.66794283424912,-1.965488933645961,99.59372722504324,-0.5134504258233241,val,monthly_fix_lumped_smoke,era5_core_plus_snow,static_base,hydro_skill,12,monthly
52.9920224623852,-1.6941459516300976,99.9998193584286,-0.7585205242219317,test,monthly_fix_semidistributed_smoke,era5_core_plus_snow,static_base,hydro_skill,12,monthly
44.43904561248731,-1.7836911357753769,99.99942292733309,-0.628019093679723,train,monthly_fix_semidistributed_smoke,era5_core_plus_snow,static_base,hydro_skill,12,monthly
44.79227747461951,-1.9820209760389629,99.99964394098046,-0.6494581937259551,val,monthly_fix_semidistributed_smoke,era5_core_plus_snow,static_base,hydro_skill,12,monthly
1.0842995425663808,0.7339934107442836,-0.5935831095111357,0.7873851732642241,test,ohio_daily_lumped_hydro_skill_core,era5_core,static_base,hydro_skill,365,daily
0.8828046142966607,0.7536185462129217,-6.946800343625245,0.8321078239555503,train,ohio_daily_lumped_hydro_skill_core,era5_core,static_base,hydro_skill,365,daily
0.9508338713504216,0.7428272637008282,-6.661729176051382,0.7952757608544356,val,ohio_daily_lumped_hydro_skill_core,era5_core,static_base,hydro_skill,365,daily
1.2216928905598443,0.6703488217206891,3.858967453429824,0.6931480826584691,test,ohio_daily_semidistributed_core,era5_core,static_base,hydro_skill,365,daily
0.750172667454541,0.8232047448741691,-2.9801534448486238,0.8890927388148031,train,ohio_daily_semidistributed_core,era5_core,static_base,hydro_skill,365,daily
1.085342657313029,0.6701387567104984,-0.890078130184761,0.7079890976192305,val,ohio_daily_semidistributed_core,era5_core,static_base,hydro_skill,365,daily
34.36612943393563,0.3079178917617179,7.088462314355138,0.3031653849304735,test,ohio_monthly_distributed_core_h12_min,era5_core,static_base,hydro_skill,12,monthly
26.40962129151783,0.3465277183626502,-10.51524902136031,0.4277071378511093,train,ohio_monthly_distributed_core_h12_min,era5_core,static_base,hydro_skill,12,monthly
27.74589108474865,0.3731505592410232,-8.503842068575281,0.4169322806254252,val,ohio_monthly_distributed_core_h12_min,era5_core,static_base,hydro_skill,12,monthly
1.1819306884330971,0.2814820617122714,14.337185843468458,0.3566489303290575,test,ohio_monthly_distributed_core_snow_h12_min,era5_core_plus_snow,static_base,hydro_skill,12,monthly
0.7849451953148172,0.4718655208374465,0.973614499479786,0.5780718067157684,train,ohio_monthly_distributed_core_snow_h12_min,era5_core_plus_snow,static_base,hydro_skill,12,monthly
0.9047879203468634,0.3753607163647215,-0.2216199583502878,0.52833054701431,val,ohio_monthly_distributed_core_snow_h12_min,era5_core_plus_snow,static_base,hydro_skill,12,monthly
32.60648330114776,0.3445455148468125,17.98677742479549,0.3638757481329551,test,ohio_monthly_lumped_hydro_balance_full_h12,era5_full_selected,static_base,hydro_balance,12,monthly
23.190266797803183,0.5126165872902135,5.136887169467354,0.5401634097008083,train,ohio_monthly_lumped_hydro_balance_full_h12,era5_full_selected,static_base,hydro_balance,12,monthly
26.474962522929506,0.4374580800728715,7.555767792616766,0.4693027582298239,val,ohio_monthly_lumped_hydro_balance_full_h12,era5_full_selected,static_base,hydro_balance,12,monthly
31.518619707089357,0.3875523154635758,10.053256183594732,0.3763673428596562,test,ohio_monthly_lumped_hydro_skill_core_h12,era5_core,static_base,hydro_skill,12,monthly
23.75562547515697,0.4885629413233926,-0.383610831255999,0.5274774761771126,train,ohio_monthly_lumped_hydro_skill_core_h12,era5_core,static_base,hydro_skill,12,monthly
26.933797348180537,0.4177904038499556,0.0283349447805721,0.4722891997169672,val,ohio_monthly_lumped_hydro_skill_core_h12,era5_core,static_base,hydro_skill,12,monthly
32.0450746614743,0.3669220429609042,12.935028309839955,0.383281321588593,test,ohio_monthly_lumped_hydro_skill_core_snow_h12,era5_core_plus_snow,static_base,hydro_skill,12,monthly
22.877048127170397,0.525693336540612,2.496598521947682,0.5717369660059985,train,ohio_monthly_lumped_hydro_skill_core_snow_h12,era5_core_plus_snow,static_base,hydro_skill,12,monthly
27.162923626351443,0.4078425355900059,2.8587238111218447,0.4884614638516359,val,ohio_monthly_lumped_hydro_skill_core_snow_h12,era5_core_plus_snow,static_base,hydro_skill,12,monthly
32.616713565283824,0.3441341534393718,15.890635147459156,0.3810925054111219,test,ohio_monthly_lumped_hydro_skill_core_wb_h12,era5_core_plus_water_balance,static_base,hydro_skill,12,monthly
22.76093133407436,0.5304959838646262,2.602229595623024,0.5743072557640312,train,ohio_monthly_lumped_hydro_skill_core_wb_h12,era5_core_plus_water_balance,static_base,hydro_skill,12,monthly
26.7163078715906,0.4271550853054503,5.749114068469467,0.4902540609811205,val,ohio_monthly_lumped_hydro_skill_core_wb_h12,era5_core_plus_water_balance,static_base,hydro_skill,12,monthly
32.35096394187738,0.3547781473176595,16.23390853641799,0.3796019492955638,test,ohio_monthly_lumped_hydro_skill_full_h12,era5_full_selected,static_base,hydro_skill,12,monthly
22.873341520011326,0.5258470212328736,3.647483734136745,0.5628054678047453,train,ohio_monthly_lumped_hydro_skill_full_h12,era5_full_selected,static_base,hydro_skill,12,monthly
26.44468362974925,0.4387440804931515,5.804678541400455,0.4823717982319674,val,ohio_monthly_lumped_hydro_skill_full_h12,era5_full_selected,static_base,hydro_skill,12,monthly
31.820583491314583,0.3757610050750222,12.637034704765256,0.4125654408359388,test,ohio_monthly_lumped_rmse_full_h12,era5_full_selected,static_base,rmse,12,monthly
23.968783168354445,0.4793435803044366,-0.3714335742492417,0.5762445727677561,train,ohio_monthly_lumped_rmse_full_h12,era5_full_selected,static_base,rmse,12,monthly
26.909653507139417,0.4188337380232216,2.3797060277358377,0.510976211542678,val,ohio_monthly_lumped_rmse_full_h12,era5_full_selected,static_base,rmse,12,monthly
34.77368213023018,0.2566785608566636,23.13639345220789,0.3157795827419274,test,ohio_monthly_semidistributed_core_h12,era5_core,static_base,hydro_skill,12,monthly
26.915073749932493,0.3410454554009126,8.981484273526208,0.4299808805666697,train,ohio_monthly_semidistributed_core_h12,era5_core,static_base,hydro_skill,12,monthly
27.71815253577908,0.3879197248427319,10.769385008384983,0.4264297484239082,val,ohio_monthly_semidistributed_core_h12,era5_core,static_base,hydro_skill,12,monthly
