RMSE,NSE,PBIAS,KGE,gauge_id,node_idx,lon,lat,human_fracirrigated,human_fracsealed,human_fracwater,human_reservoir_mask,human_lake_mask,human_fracgwused,human_fracncused,human_dom_mean,human_dom_std,human_ene_mean,human_ene_std,human_ind_mean,human_ind_std,human_liv_mean,human_liv_std,huc_02_str,gdw_reservoir_count
1.5020330722258743,0.7414305169307593,8.898749852698613,0.7397093855228867,01013500,54.02578481726481,-68.57300012185428,46.99571335325208,0.0,1.7329498104204753e-05,0.0560578083971986,0.0,0.0,0.4051245012626812,0.0,0.000457498634816,0.0002726099481457,0.0,0.0,0.0,0.0,0.0,0.0,1,27.0
1.2447907583991926,0.7793596159662632,7.980660741635024,0.7188253508653327,01030500,82.37609328492354,-68.14415764249067,45.799713039012026,0.0,7.413575143900058e-05,0.0240231644373806,0.0,0.0,0.454466268997744,0.0,0.0005572262797089,0.000224688389956,0.0,0.0,3.57470544048089e-05,0.0001101793471117,0.0,0.0,1,26.0
1.026312524432215,0.8588877749722347,-0.1534178923090032,0.8773624428226459,01031500,16.99007566267787,-69.58634051827781,45.22485615270611,0.0,0.0004717703882917,0.0198718337244693,0.0,0.0,0.3666851937149876,0.0,0.0016102653475874,0.0003672214106697,0.0002340466901375,0.0006029318111992,0.0017872655369326,0.0,0.0,0.0,1,22.0
0.9959108489657174,0.7987496073166339,-1.735081492299789,0.8416499385124943,01047000,21.99003636219943,-70.16387745266901,44.98483824516285,0.0,0.0011453458901638,0.0057224645201819,0.0,0.0,0.3433520835035514,0.0,0.0009448039453168,0.0003633276944416,0.0,0.0,0.0,0.0,0.0,0.0,1,18.0
1.1185315799769164,0.7717480399795964,-2.4049158930815686,0.8386672289026169,01055000,4.997828138917239,-70.6204489058946,44.74769342591004,0.0,0.0001486571491936,0.0038278143190459,0.0,0.0,0.2648675747796876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.0
0.6165595831419927,0.8079111511196142,8.310992143745485,0.8186792816940776,01078000,4.4990183494404725,-71.87999018604391,43.55497382718419,0.0,0.0023931952512297,0.0014562140669673,0.0,0.0,0.1959898521955205,0.0,0.0036179985007985,0.0007948303246908,0.0,0.0,0.0,0.0,0.0,0.0,1,35.0
0.9795186579248514,0.6683227355847896,3.1644572892199463,0.7555844543761665,01123000,1.4993291005666287,-72.06250718909291,41.73747364412123,0.0,0.0070268291168271,3.36188200823784e-05,0.0,0.0,0.0597794651246758,0.0,0.022967659737108,0.0073352085883736,0.0,0.0,0.0,0.0,0.0,0.0,1,44.0
0.9840894607827044,0.7801542792301709,7.011997206009738,0.7045703718598137,01134500,4.497794468789377,-71.79499575338916,44.57495758402661,0.0,0.0001564530967211,1.4849180270572297e-05,0.0,0.0,0.1378913446078799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0
0.8176692117922376,0.7232650247286334,2.532330977780134,0.7312085634908216,01139000,4.998400327651094,-72.22953403559876,44.2249619144975,0.0,0.0001974617362799,0.0092708449888534,0.0,0.0,0.2029999999999999,0.0,0.0025370413386295,0.0013546554108042,0.0108473460062732,0.0092815873364924,0.0,0.0,0.0,0.0,1,3.0
0.7852042890576341,0.7620264875394365,2.816615251166473,0.7964208458443294,01144000,38.98041752969203,-72.66046069801891,43.884311302018986,0.0,0.0023923596787147,0.000509930770952,0.0,0.0,0.1864320197378945,0.0,0.0047330771336354,0.0022799733579071,0.0183402725643999,0.0167823636203993,0.0,0.0,0.0,0.0,1,35.0
1.1710790887112879,0.7080961047425987,3.037625496761228,0.8188611112321325,01169000,4.498132317643185,-72.78499046381407,42.739967811126405,0.0,0.0011700514352251,0.000452740732425,0.0,0.0,0.1321748544825182,0.0,0.0059390949055321,0.0027395739879288,0.0137543242702999,0.0115705118285932,0.0,0.0,0.0,0.0,1,54.0
0.8213577785691285,0.7229816947949679,7.63748621798379,0.7046839802790275,03010655,4.500501602126481,-78.0649945985895,41.90998417892234,0.0,0.0018174213605217,5.735968908518548e-06,0.0,0.0,0.5132996980849789,0.0,0.0008090674460274,0.0010544820088039,0.0,0.0,0.0,0.0,0.0,0.0,5,3.0
0.7599401238992878,0.8243812479935811,1.7113806204150086,0.8587548086943662,03015500,17.491148075612056,-79.50692522186216,41.90543494038473,0.0,0.0089881983251894,0.0002120167725035,0.0,0.0,0.3083732039524673,0.0,0.0125158007227968,0.0037927919123556,0.0313555273259056,0.0157141868504241,0.0030579480989438,0.0010584014414935,0.0,0.0,5,6.0
0.8586034999172778,0.7998971514521501,0.7270511822746664,0.810824769264423,03021350,4.998306065229817,-79.65685090885118,42.08405689589253,0.0,0.0076805487172452,0.0006457614117085,0.0,0.0,0.2352768595258368,0.0,0.0064919217987802,0.0017413545906623,0.0007882019172757,0.0026298931207945,0.0,0.0,0.0,0.0,5,23.0
1.0415227156433107,0.7272023222948281,15.61302745546864,0.7215852274459937,03049000,6.496418218418779,-79.68570500069403,40.84994296088762,0.0,0.0118494787408923,2.739285564509377e-05,0.0,0.0,0.3932333538728064,0.0,0.0202681882432193,0.0053257700315688,0.0615662002489329,0.0261265332052299,0.0004253282347097,0.0013109437539183,0.0,0.0,5,24.0
1.3542290376578152,0.6331718481329702,13.223865783438251,0.6212041989564414,03050000,10.007190745529304,-79.98695645802164,38.65106423539879,0.0,0.00344520292681,5.70851490498279e-05,0.0,0.0,0.0848326579154222,0.0,0.004588112514009,0.0009323674728571,0.0640176145217782,0.0280480552200327,0.0154374588277013,0.0055366983021081,0.0,0.0,5,6.0
0.9703759972988352,0.7174445299676426,11.743545399567367,0.7130302474623356,03069500,39.54709219344431,-79.62032578049875,38.90825546713507,0.0,0.0024048009324359,0.0003011475016027,0.0,0.0,0.0439021046330767,0.0,0.00122827166134,0.0005539012566247,0.0188360512598341,0.0098068560438526,0.0029681718921434,0.0012929549133112,0.0,0.0,5,8.0
1.0709309029417,0.6846923040032507,14.96674689037898,0.6745255707474902,03070500,9.995721276127911,-79.61310226967885,39.70352194448691,0.0,0.0055217168108934,0.0021377849259705,0.0,0.0,0.2260745566990862,0.0,0.0081568053453727,0.0024155164370173,0.068122177690387,0.033052921804657,0.0130472990808386,0.0057833831476441,0.0,0.0,5,11.0
1.2595854682080452,0.5634210718382499,17.905927831568974,0.5789700961786415,03078000,3.000609579323926,-79.1892966053498,39.65354238001482,0.0,0.011270828024219,0.0016902352335102,0.0,0.0,0.1166944370344957,0.0,0.0129385040373218,0.0047591776881569,0.0071497484721846,0.0035571338429193,0.0,0.0,0.0,0.0,5,20.0
0.5884337819579776,0.7767766274144394,12.56400554624523,0.7421167987744932,03140000,0.999512144543176,-81.80834553174383,40.42497560722716,0.0,0.0177250227825625,3.442864653559457e-05,0.0,0.0,0.3761070683635627,0.0,0.0217504405131638,0.0038498108153552,0.0960498644017722,0.0379833821192964,0.0,0.0,0.0,0.0,5,27.0
0.5372108038514435,0.8090417577810474,14.81507255937266,0.7681236727718206,03144000,6.9963187678294405,-82.19831283164231,40.221601446585005,0.0,0.0092383068403935,7.485376125048e-05,0.0,0.0,0.4092612207830951,0.0,0.0119549741913984,0.0037257144350335,0.0521318016389443,0.0273061013916985,0.0,0.0,0.0,0.0,5,16.0
1.7324508538066847,0.5853275353149605,21.071169200354927,0.5577158947034262,03161000,11.003418859726397,-81.57068749682037,36.27929335708868,0.0,0.024764310608739,0.0002154462961875,0.0,0.0,0.0076493648929906,0.0,0.0358937728491323,0.0075367230112363,0.2394147924334385,0.0520834049395315,0.002978227213413,0.0007982158141883,0.0,0.0,5,0.0
