RMSE,NSE,PBIAS,KGE,split,basin_id,n_samples,is_outlet_only
49.038076139036704,-2.101751220349723,99.63170562325566,-0.5004778846720876,test,03010655,60,True
93.02765744423112,-0.920315197061504,99.76072153045449,-1.4446412078311597,test,03015500,4,True
45.968453612330556,-35.44183457610525,99.63698697779681,-1.4480020344272568,train,03010655,2,True
63.94769012928009,,99.75420892193472,,train,03015500,1,True
120.800496463197,-6.133101618788384,99.86622994654793,-0.4131250987955042,train,03021350,2,True
76.3330723695938,-0.9801500899412305,99.75625133581141,-0.7660662410421171,train,03049000,6,True
92.77468133480951,-12.155485196072691,99.84317621497527,-0.7509955158618882,train,03050000,3,True
35.415222722809105,-6.270016984721668,99.52626317989076,-0.4099026464183404,train,03069500,2,True
81.25525049454417,-1.0644766696665475,99.72664678860437,-0.41208323194335605,train,03070500,2,True
48.18304465269368,-1.6929091855854779,99.58937318114424,-0.42817357474116613,train,03078000,3,True
15.402458846569061,,99.05972900738779,,train,03140000,1,True
12.315427982240427,-3.862515928104651,98.9643973628653,-0.4065022395459379,train,03144000,2,True
64.63709114825298,-19.866464838292917,99.77343154132636,-0.4117166199479194,train,03161000,2,True
62.766471040884355,-12.762259923788768,99.77674288131696,-0.4123760442548585,train,03164000,2,True
51.946581137214835,-1.261667356111127,99.63611193016739,-0.42335515695552917,train,03170000,5,True
19.558555766940117,,99.36197784063155,,train,03173000,1,True
137.98195837872188,-7.981792609753487,99.89112771326295,-0.4133971368392251,train,03182500,2,True
45.46181333059831,-4.124984227569943,99.65525876890177,-0.411495707305811,train,03186500,3,True
95.93408859987149,-3.5827433868373433,99.82638206295356,-0.4223125524907003,train,03187500,4,True
3.6499707400798798,,96.25376290724576,,train,03213700,1,True
43.008187648906265,-24.850431500982427,99.6440099646935,-1.4476088616038814,train,03237500,2,True
48.43336325584486,-1.6297550647642782,99.60066477464096,-0.4994052032902998,train,03280700,5,True
18.680469352369823,-1.5069044310525572,99.01533829161772,-0.7007117167344161,train,03281500,4,True
70.34214341640472,,99.78387563305918,,train,03285000,1,True
51.66934078160525,-2.139318851352892,99.7372729781034,-0.41286793779327713,train,03300400,3,True
61.35217612981796,,99.7769278347276,,train,03338780,1,True
49.590081911921935,-2.501812986447605,99.72522672272918,-0.41223142479394137,train,03340800,2,True
44.77191889310745,-1.824527817474507,99.66911880624534,-0.41174533946264913,train,03384450,2,True
43.33481172230553,-1.9289307971076348,99.58078151760238,-0.5119758576673505,val,03010655,60,True
61.27816305654829,-3.6737144661804706,99.71961480128907,-0.5623967402936692,val,03015500,4,True
