RMSE,NSE,PBIAS,KGE,split,basin_id,n_samples,is_outlet_only
0.797231125000507,0.2919897408877632,-21.8784461353158,0.5773430990742775,test,03010655,600,False
1.0148707151557088,0.34268761154884364,5.26038816698997,0.5111802899851687,test,03015500,2160,False
1.0458848407566825,0.3580759144418917,5.06615108980133,0.5644641480970537,test,03021350,660,False
1.0719516701999054,0.24897706839745093,13.765964766380701,0.33443904810421543,test,03049000,840,False
1.2323794283009386,0.30097133903460027,13.162818602458273,0.36233251883176754,test,03050000,1260,False
1.035784735666655,0.3417478483104307,5.030380363667395,0.41851743719164525,test,03069500,4800,False
1.0478296861793037,0.30364835580066063,-8.909134783929506,0.4168117040747591,test,03070500,1260,False
0.9842701858587227,0.2729437001624989,4.7552317410520315,0.32458750564937977,test,03078000,420,False
0.7438092026632028,0.4183623110385549,-9.675768560836962,0.48170258499300556,test,03140000,180,False
0.7353681586120439,0.45092439858485867,-6.103381245952626,0.5157446096707434,test,03144000,900,False
1.4442036153137645,-0.04976992029432559,34.27520099342038,0.13945052008526215,test,03161000,1380,False
1.199874121548086,0.16773143049446138,26.092854284437358,0.23909405630860625,test,03164000,7440,False
1.0801046989551546,0.13286318691062393,31.166552873514373,0.17156095089734136,test,03170000,1980,False
0.8539583685944928,0.3814790195795281,17.120455199885015,0.4122757819874242,test,03173000,1980,False
1.2341013979338689,0.16796240145729657,24.057557143482114,0.2836469117402096,test,03182500,3360,False
1.5229093506001774,0.06103479631593489,29.428068671724528,0.21860382428491543,test,03186500,900,False
1.47167515585502,0.10673238266184415,27.608895990709744,0.23422070812767137,test,03187500,540,False
1.155217179673743,0.34799749962523285,6.033179050865722,0.41593916561986854,test,03213700,5820,False
1.1978820239491756,0.24500305558644664,18.650667668794473,0.32561859487994926,test,03237500,2280,False
1.4487704483487582,0.2606744310540765,15.372123357804202,0.3102112806084527,test,03280700,420,False
1.4265233898476464,0.3032340867040908,9.823072300941904,0.32470748084188406,test,03281500,4380,False
1.511559850281979,0.20215641620730906,21.262701908074035,0.24113206146726496,test,03285000,2160,False
1.3830544932830222,0.14868506454026098,24.024205407878163,0.2829355918491093,test,03300400,2940,False
0.5460312447603769,0.5025115310753864,-20.55500812483196,0.5140855455164091,test,03338780,1740,False
0.543622981256863,0.5194371584540336,-22.285173417491723,0.5943857445996599,test,03340800,840,False
1.1391167588072504,0.39999786557490447,11.857299366184675,0.39491828917774674,test,03384450,300,False
0.7734419074175044,0.286971925344933,-25.22310225752152,0.6034598357436671,train,03010655,1320,False
0.8834938040805309,0.37504578172439795,-2.2870228420116683,0.6506498854583633,train,03015500,4752,False
1.0200785411057183,0.2587226789191469,1.3568899389728408,0.6180768120974649,train,03021350,1452,False
0.8125393792853736,0.4394922873028657,2.9648047723626476,0.5519322304191838,train,03049000,1848,False
0.8750149548410552,0.48263693193490875,1.937309597298975,0.5797137300423086,train,03050000,2772,False
0.8113614287034737,0.5297579355238649,-10.751789204788352,0.6067497884639065,train,03069500,10560,False
0.7977733263730432,0.5410915834741107,-22.238234356103312,0.6565320925475449,train,03070500,2772,False
0.7059694159438739,0.5888443984193779,-14.43749260823284,0.6273599513475228,train,03078000,924,False
0.5639317314762617,0.5133813689691296,-21.046150073334505,0.6364157757578918,train,03140000,396,False
0.507497866905872,0.6040435937282448,-15.688479012003747,0.6971418983290014,train,03144000,1980,False
0.9620593626371962,0.16761158883142968,24.33083152690957,0.30192658034847275,train,03161000,3036,False
0.7397834733822145,0.3633234334354082,15.69868981922479,0.42489759538120586,train,03164000,16368,False
0.6942964627211367,0.33856192566467,21.384598927684248,0.32584935653786373,train,03170000,4356,False
0.4817808872029146,0.5161224092799337,5.560085657429311,0.5908462310008082,train,03173000,4356,False
0.8771528408764746,0.43614153212755014,13.888444038910816,0.5021030152570582,train,03182500,7392,False
1.1754913171913153,0.3028083635472286,23.575165891616315,0.3924145905802008,train,03186500,1980,False
1.1251882492330263,0.35247362199760424,20.626432784358688,0.4040684113855769,train,03187500,1188,False
0.7353238793707858,0.4453874997531143,-9.482946347672154,0.5752647202415461,train,03213700,12804,False
0.7665346405275495,0.5141050602094575,9.833871128319428,0.5530185498947826,train,03237500,5016,False
0.8340583702556726,0.41874611106037873,-9.658974742458978,0.5391657494463318,train,03280700,924,False
0.8100764983895048,0.41951477230537537,-17.3856170735102,0.5366231857618939,train,03281500,9636,False
0.7875208994847865,0.5194524920749597,-1.0424877923535938,0.560730601446705,train,03285000,4752,False
0.7742660388206933,0.5168263717976397,6.617618916187699,0.5936414304534766,train,03300400,6468,False
0.5478344259120768,0.3462342263677961,-33.57150032996938,0.5179268021526799,train,03338780,3828,False
0.584429450890047,0.4984871788668088,-23.243174746643817,0.6152702936666352,train,03340800,1848,False
0.826445922528463,0.4776088624727637,-0.6570539617454376,0.5617756771180408,train,03384450,660,False
0.7577785704869757,0.1771958556390908,-29.56753189824461,0.568593888159571,val,03010655,600,False
0.9157601155737787,0.29487071356968364,-5.07135856928451,0.6168490349096825,val,03015500,2160,False
1.0266646045680117,0.18132665946688664,-2.1379902335694063,0.6013333386834697,val,03021350,660,False
0.8881536861632897,0.2606493499399126,1.7812588595399221,0.4956771062332176,val,03049000,840,False
1.0050894183459524,0.3920774791601829,-2.092134972457042,0.553082394534632,val,03050000,1260,False
0.93827036106026,0.4210594124915772,-16.205118655851603,0.5813357799132464,val,03069500,4800,False
0.8969224765164499,0.3596241622709102,-29.694397519116226,0.6006742881441713,val,03070500,1260,False
0.7559595248045714,0.512431459204395,-15.911066056063415,0.6515037039793314,val,03078000,420,False
0.7163202149267169,0.3976285372862992,-29.97743055979108,0.5578053374828587,val,03140000,180,False
0.7015867251994956,0.4424523652549608,-26.976162632744536,0.5835076480835113,val,03144000,900,False
1.1880216403993888,0.09174165197177608,28.78771669794421,0.1981815417215863,val,03161000,1380,False
0.9503305253158775,0.2969354524742792,19.9136902497524,0.3181067349590493,val,03164000,7440,False
0.7437970585475203,0.31783377078357267,21.39920340667602,0.30617228074705505,val,03170000,1980,False
0.5829206853441675,0.4975583431921763,4.990692624340738,0.5392084605812839,val,03173000,1980,False
1.0862794143414747,0.3115578396323002,15.544138108295467,0.4227107218410754,val,03182500,3360,False
1.3852051641472787,0.21455216338850414,22.934731708751738,0.33091111619446445,val,03186500,900,False
1.3816494791789258,0.2475356146117892,20.764161529174604,0.3304811969795697,val,03187500,540,False
0.7653788603697492,0.3658910587631107,-14.594727737162742,0.589437928956372,val,03213700,5820,False
0.9532076536740475,0.4146077076966903,3.59280909469969,0.49517668655264446,val,03237500,2280,False
0.8083115413006036,0.3176835645419043,-6.490185492035631,0.5831376163374473,val,03280700,420,False
